"num";"date";"year";"title";"url";"tag";"speaker";"content"
"1";"22 сакавіка 2026";"2026";"Аб удзеле кіраўніцтва і супрацоўнікаў МЗС у акцыі &laquo;Прыйдзі і пакланіся&raquo; ў мемарыяльным комплексе &laquo;Хатынь&raquo;";"https://www.mfa.gov.by/be/press/news_mfa/e01ff6f188a515bd.html";"";"";""
"2";"20 сакавіка 2026";"2026";"Аб брыфінгу намесніка Міністра замежных спраў Беларусі І.Сякрэты для дыпламатычнага корпусу";"https://www.mfa.gov.by/be/press/news_mfa/a2bb52beecaeb1fe.html";"";"";""
"3";"20 сакавіка 2026";"2026";"Аб спачуванні намесніка Міністра замежных спраў Беларусі П.Уцюпіна ў сувязі са смерцю Каталікоса-Патрыярха ўсяе Грузіі";"https://www.mfa.gov.by/be/press/news_mfa/ac972f72889de81a.html";"";"";""
"4";"20 сакавіка 2026";"2026";"Аб сустрэчы Пасла Беларусі Д.Дзеравінскага з намеснікам Міністра замежных спраў Венесуэлы";"https://www.mfa.gov.by/be/press/news_mfa/be53771981e1afe2.html";"";"";""
"5";"19 сакавіка 2026";"2026";"Аб рабочай паездцы Пасла Беларусі Я.Сабалеўскага ў Алжыр";"https://www.mfa.gov.by/be/press/news_mfa/fb85a56cf41119ec.html";"";"";""
"6";"18 сакавіка 2026";"2026";"Аб адкрыцці &laquo;Міжнароднага квартала&raquo; ў рамках XXXIII Мінскай міжнароднай кніжнай выставы-кірмашу";"https://www.mfa.gov.by/be/press/news_mfa/fb911152f7516fdd.html";"";"";""
"7";"18 сакавіка 2026";"2026";"Аб удзеле Міністра замежных спраў Беларусі М.Рыжанкова ў адкрыцці выставы &laquo;Выратаванне Еўропы. 110 гадоў Нарачанскай аперацыі&raquo;";"https://www.mfa.gov.by/be/press/news_mfa/a098cc6fa48b2689.html";"";"";""
"8";"18 сакавіка 2026";"2026";"Аб сустрэчы Пасла Беларусі Д.Дзеравінскага з Віцэ-прэзідэнтам – Міністрам планавання Венесуэлы";"https://www.mfa.gov.by/be/press/news_mfa/dc6f7db10cec927a.html";"";"";""
"9";"17 сакавіка 2026";"2026";"Аб сустрэчы Часовага паверанага Беларусі У.Жура з Дзяржаўным міністрам замежных спраў, міжнароднага супрацоўніцтва і дыяспары Экватарыяльнай Гвінеі";"https://www.mfa.gov.by/be/press/news_mfa/f106bce04bc7ce35.html";"";"";""
"10";"17 сакавіка 2026";"2026";"Аб сустрэчы спецыяльных прадстаўнікоў Беларусі і Расіі для агляду дзеяння міждзяржаўнага Дагавора аб гарантыях бяспекі ў рамках Саюзнай дзяржавы";"https://www.mfa.gov.by/be/press/news_mfa/dd51b93ed8ac9000.html";"";"";""
"11";"17 сакавіка 2026";"2026";"Аб сустрэчы намесніка Міністра замежных спраў Беларусі Я.Шэстакова з дырэктарам Дэпартамента Паўночнай Атлантыкі МЗС Расіі";"https://www.mfa.gov.by/be/press/news_mfa/a9a6911d58722c2d.html";"";"";""
"12";"17 сакавіка 2026";"2026";"Аб запуску Міністрам замежных спраў Беларусі М.Рыжанковым праекта &laquo;Лекторый “ДЫПЛАМАТ”&raquo; на факультэце міжнародных адносін БДУ";"https://www.mfa.gov.by/be/press/news_mfa/c16a93a822695760.html";"";"";""
"13";"16 сакавіка 2026";"2026";"Аб сустрэчы Часовага паверанага Беларусі С.Балашчанкі з Генеральным сакратаром Сусветнай турысцкай арганізацыі";"https://www.mfa.gov.by/be/press/news_mfa/bb222558e9a0465f.html";"";"";""
"14";"16 сакавіка 2026";"2026";"Аб сустрэчы Пасла Беларусі С.Малунова са Спікерам Вярхоўнага Савета Кыргызстана";"https://www.mfa.gov.by/be/press/news_mfa/faa39032b0ec3f34.html";"";"";""
"15";"13 сакавіка 2026";"2026";"Адказ прэс-сакратара Міністэрства замежных спраў Беларусі Р.Варанкова на пытанне тэлеканала &laquo;АНТ&raquo; датычна заявы старшыні Еўракамісіі У. фон дэр Ляен пра ядзерную энергетыку";"https://www.mfa.gov.by/be/press/news_mfa/ecd93cf9ea64aafe.html";"";"";""
"16";"13 сакавіка 2026";"2026";"Аб сустрэчы Пасла Беларусі В.Барчука з Першым намеснікам Міністра знешняга гандлю і замежных інвестыцый Кубы";"https://www.mfa.gov.by/be/press/news_mfa/e3b77d1246dc8cf6.html";"";"";""
"17";"12 сакавіка 2026";"2026";"Выступ Пастаяннага прадстаўніка Беларусі Л.Бельскай на Канферэнцыі па раззбраенні ААН (12 сакавіка 2026 г., г.Жэнева)";"https://www.mfa.gov.by/be/press/news_mfa/b7c22e5ffcb1cf1c.html";"";"";""
"18";"12 сакавіка 2026";"2026";"Выступ Пастаяннага прадстаўніка Беларусі Л.Бельскай на 61-й сесіі Савета ААН па правах чалавека (12 сакавіка 2026 г., г.Жэнева)";"https://www.mfa.gov.by/be/press/news_mfa/d5b3d2a85e055322.html";"";"";""
"19";"12 сакавіка 2026";"2026";"Аб перадачы Кеніі беларускай гуманітарнай дапамогі для барацьбы з наступствамі паводак";"https://www.mfa.gov.by/be/press/news_mfa/d13798e52878ab7f.html";"";"";""
"20";"12 сакавіка 2026";"2026";"Аб сустрэчы Пасла Беларусі Д.Красоўскага з намеснікам Міністра замежных спраў і дыяспары Кеніі";"https://www.mfa.gov.by/be/press/news_mfa/aa9f110316101a43.html";"";"";""
"21";"12 сакавіка 2026";"2026";"Аб сустрэчы Пасла Беларусі А.Андрэева з намеснікам Міністра замежных спраў Бразіліі";"https://www.mfa.gov.by/be/press/news_mfa/ac80069848275ff0.html";"";"";""
"22";"11 сакавіка 2026";"2026";"Аб пасяджэнні калегіі Міністэрства замежных спраў Беларусі па разглядзе вынікаў работы ў 2025 годзе";"https://www.mfa.gov.by/be/press/news_mfa/d798bab573f7ceb2.html";"";"";""
"23";"11 сакавіка 2026";"2026";"Аб сустрэчы Пасла Беларусі М.Рагашчука з Міністрам фінансаў Грузіі";"https://www.mfa.gov.by/be/press/news_mfa/d5f545622d6d7aa5.html";"";"";""
"24";"11 сакавіка 2026";"2026";"Выступ Пастаяннага прадстаўніка Беларусі Л.Бельскай на 61-й сесіі Савета ААН па правах чалавека (11 сакавіка 2026 г., г.Жэнева)";"https://www.mfa.gov.by/be/press/news_mfa/f806dadf54fd483e.html";"";"";""
"25";"10 сакавіка 2026";"2026";"Аб вяртанні беларускіх грамадзян з Катара";"https://www.mfa.gov.by/be/press/news_mfa/c12888eae75db22a.html";"";"";""
"26";"10 сакавіка 2026";"2026";"Аб сустрэчы Пастаяннага прадстаўніка Беларусі Д.Красоўскага з Генеральным дырэктарам Аддзялення ААН у г.Найробі (Кенія)";"https://www.mfa.gov.by/be/press/news_mfa/c82ecd4a97df2ea7.html";"";"";""
"27";"09 сакавіка 2026";"2026";"Аб правядзенні намеснікам Міністра замежных спраў Беларусі І.Сякрэтам брыфінга па пытаннях правоў чалавека";"https://www.mfa.gov.by/be/press/news_mfa/ae32bd5b25021cd9.html";"";"";""
"28";"06 сакавіка 2026";"2026";"Аб тэлефоннай размове Міністра замежных спраў Беларусі М.Рыжанкова з Міністрам замежных спраў Азербайджана";"https://www.mfa.gov.by/be/press/news_mfa/dcdee68d40a873eb.html";"";"";""
"29";"05 сакавіка 2026";"2026";"Аб тэлефоннай размове Міністра замежных спраў Беларусі М.Рыжанкова з Намеснікам Прэм'ер-міністра – Міністрам замежных спраў ААЭ";"https://www.mfa.gov.by/be/press/news_mfa/b17e2693ba869500.html";"";"";""
"30";"05 сакавіка 2026";"2026";"Аб сустрэчы намесніка Міністра замежных спраў Беларусі І.Сякрэты з кіраўніком Прадстаўніцтва МФЧК у Беларусі";"https://www.mfa.gov.by/be/press/news_mfa/b5fc63db5eceebca.html";"";"";""
"31";"04 сакавіка 2026";"2026";"Аб другім дні рабочага візіту Міністра замежных спраў Беларусі М.Рыжанкова ў Гану";"https://www.mfa.gov.by/be/press/news_mfa/a819befc9e6785eb.html";"";"";""
"32";"03 сакавіка 2026";"2026";"Аб першым дні рабочага візіту Міністра замежных спраў Беларусі М.Рыжанкова ў Гану";"https://www.mfa.gov.by/be/press/news_mfa/c207562ff0a19d1e.html";"";"";""
"33";"03 сакавіка 2026";"2026";"Аб другім дні рабочага візіту Міністра замежных спраў Беларусі М.Рыжанкова ў Тога";"https://www.mfa.gov.by/be/press/news_mfa/e4f086cc26cdf968.html";"";"";""
"34";"03 сакавіка 2026";"2026";"Аб размове Міністра замежных спраў Беларусі М.Рыжанкова з Міністрам замежных спраў Амана";"https://www.mfa.gov.by/be/press/news_mfa/f2da19ae567629c5.html";"";"";""
"35";"03 сакавіка 2026";"2026";"Аб сустрэчы намесніка Міністра замежных спраў Беларусі І.Сякрэты з Паслом Турцыі";"https://www.mfa.gov.by/be/press/news_mfa/da4b963704e7ed3a.html";"";"";""
"36";"03 сакавіка 2026";"2026";"Аб сустрэчы Пасла Беларусі Д.Піневіча з намеснікам Прэм'ер-міністра Азербайджана";"https://www.mfa.gov.by/be/press/news_mfa/f64bc8225f48bc01.html";"";"";""
"37";"03 сакавіка 2026";"2026";"Аб сустрэчы Першага намесніка Міністра замежных спраў Беларусі С.Лукашэвіча з ганаровым консулам Беларусі ў Непале";"https://www.mfa.gov.by/be/press/news_mfa/eb55f69263f2bd98.html";"";"";""
"38";"02 сакавіка 2026";"2026";"Аб першым дні візіту Міністра замежных спраў Беларусі М.Рыжанкова ў Тога";"https://www.mfa.gov.by/be/press/news_mfa/d0242486e8a9ff54.html";"";"";""
"39";"02 сакавіка 2026";"2026";"Аб сустрэчы Першага намесніка Міністра замежных спраў Беларусі С.Лукашэвіча з Паслом Ірана";"https://www.mfa.gov.by/be/press/news_mfa/ccf86780ccbc64c0.html";"";"";""
"40";"02 сакавіка 2026";"2026";"Аб сустрэчы намесніка Міністра замежных спраў Беларусі І.Сякрэты з памочнікам Генеральнага сакратара ААН, намеснікам Адміністратара ПРААН – дырэктарам рэгіянальнага бюро ПРААН для Еўропы і краін СНД";"https://www.mfa.gov.by/be/press/news_mfa/e53ff91dd4f84803.html";"";"";""
"41";"28 лютага 2026";"2026";"Заява МЗС Беларусі ў сувязі з гібеллю мірных грамадзян у выніку эскалацыі канфлікту на Блізкім Усходзе";"https://www.mfa.gov.by/be/press/news_mfa/b0df915b5e6b8128.html";"";"";""
"42";"28 лютага 2026";"2026";"Заява Міністэрства замежных спраў Рэспублікі Беларусь у сувязі з абвастрэннем сітуацыі на Блізкім Усходзе";"https://www.mfa.gov.by/be/press/news_mfa/f36dc0b0c6c402dc.html";"";"";""
"43";"27 лютага 2026";"2026";"Аб сустрэчы Пасла Беларусі Д.Дзеравінскага з Міністрам аховы здароўя Венесуэлы";"https://www.mfa.gov.by/be/press/news_mfa/fe5d0800b7433d1f.html";"";"";""
"44";"27 лютага 2026";"2026";"Аб сустрэчы Міністра замежных спраў Беларусі М.Рыжанкова з Паслом Кітая";"https://www.mfa.gov.by/be/press/news_mfa/d884d0f95313d755.html";"";"";""
"45";"25 лютага 2026";"2026";"Аб мерапрыемствах трэцяга дня рабочага візіту намесніка Міністра замежных спраў Беларусі І.Сякрэты ў г.Жэневу (Швейцарыя)";"https://www.mfa.gov.by/be/press/news_mfa/f003638f0dbaa5ab.html";"";"";""
"46";"24 лютага 2026";"2026";"Аб удзеле намесніка Міністра замежных спраў Беларусі І.Сякрэты у мерапрыемствах высокага ўзроўню на пляцоўцы Аддзялення ААН у Жэневе (другі дзень)";"https://www.mfa.gov.by/be/press/news_mfa/f3ab358adab494b9.html";"";"";""
"47";"24 лютага 2026";"2026";"Выступ намесніка Міністра замежных спраў Беларусі І.Сякрэты на сегменце высокага ўзроўню 61-й сесіі Савета ААН па правах чалавека (24 лютага 2026 г., г.Жэнева)";"https://www.mfa.gov.by/be/press/news_mfa/e4533914ed2ef875.html";"";"";""
"48";"24 лютага 2026";"2026";"Аб уручэнні Пастаянным прадстаўніком Беларусі Д.Красоўскім даверчых лістоў старшыні Камісіі Афрыканскага саюза";"https://www.mfa.gov.by/be/press/news_mfa/e1558802778a23f8.html";"";"";""
"49";"24 лютага 2026";"2026";"Аб сустрэчы Пасла Беларусі С.Чапурнога з намеснікам Міністра замежных спраў Туркменістана";"https://www.mfa.gov.by/be/press/news_mfa/eb5ce3ae2d453dbd.html";"";"";""
"50";"24 лютага 2026";"2026";"Выступ намесніка Міністра замежных спраў Беларусі І.Сякрэты на пасяджэнні высокага ўзроўню Савета ААН па правах чалавека, прысвечаным 25-годдзю Дурбанскай дэкларацыі і Праграмы дзеянняў (24 лютага 2026 г., г.Жэнева)";"https://www.mfa.gov.by/be/press/news_mfa/d87f77ea1c7a3833.html";"";"";""
"51";"24 лютага 2026";"2026";"Аб сустрэчы Пасла Беларусі А.Мяцеліцы з намеснікам Міністра замежных спраў Пакістана";"https://www.mfa.gov.by/be/press/news_mfa/ba25103a6ac17091.html";"";"";""
"52";"24 лютага 2026";"2026";"Пасяджэнне беларускай часткі Беларуска-Аманскага міжурадавага камітэта па супрацоўніцтве і інвестыцыях пад старшынствам Міністра замежных спраў Беларусі М.Рыжанкова";"https://www.mfa.gov.by/be/press/news_mfa/e00ee94e941f2906.html";"";"";""
"53";"23 лютага 2026";"2026";"Аб удзеле намесніка Міністра замежных спраў Беларусі І.Сякрэты ў мерапрыемствах высокага ўзроўню на пляцоўцы Аддзялення ААН у Жэневе (Швейцарыя)";"https://www.mfa.gov.by/be/press/news_mfa/ee68c4766a3132c2.html";"";"";""
"54";"23 лютага 2026";"2026";"Выступ намесніка Міністра замежных спраў Беларусі І.Сякрэты на cегменце высокага ўзроўню Канферэнцыі ААН па раззбраенні (23 лютага 2026 г., г.Жэнева)";"https://www.mfa.gov.by/be/press/news_mfa/bea5b1b5a2260beb.html";"";"";""
"55";"20 лютага 2026";"2026";"Аб сустрэчы Пасла Беларусі М.Рагашчука з намеснікам Міністра аховы навакольнага асяроддзя і сельскай гаспадаркі Грузіі";"https://www.mfa.gov.by/be/press/news_mfa/d8f5c1b154067c72.html";"";"";""
"56";"19 лютага 2026";"2026";"Адказ прэс-службы Міністэрства замежных спраў Беларусі на пытанне БелТА адносна няўдзелу Міністра замежных спраў М.Рыжанкова ў пасяджэнні Савета міру";"https://www.mfa.gov.by/be/press/news_mfa/e8d6a4796fbe661d.html";"";"";""
"57";"19 лютага 2026";"2026";"Аб удзеле Міністра замежных спраў Беларусі М.Рыжанкова ў літаратурнай вечарыне, прымеркаванай да Міжнароднага дня роднай мовы і Года беларускай жанчыны";"https://www.mfa.gov.by/be/press/news_mfa/c8ea0eea42f07219.html";"";"";""
"58";"18 лютага 2026";"2026";"Аб сустрэчы Пастаяннага прадстаўніка Беларусі Я.Сабалеўскага з намеснікам Генеральнага сакратара Лігі арабскіх дзяржаў па міжнародных палітычных справах";"https://www.mfa.gov.by/be/press/news_mfa/c3b3113fa65a30da.html";"";"";""
"59";"17 лютага 2026";"2026";"Аб сустрэчы Першага намесніка Міністра замежных спраў Беларусі С.Лукашэвіча са старшынёй і кіраўнічым дырэктарам індыйскай групы кампаній Podar Enterprise";"https://www.mfa.gov.by/be/press/news_mfa/b6ae9c4364b6baea.html";"";"";""
"60";"16 лютага 2026";"2026";"Аб сустрэчы Першага намесніка Міністра замежных спраў Беларусі С.Лукашэвіча з дэлегацыяй Нацыянальнай карпарацыі развіцця Афганістана";"https://www.mfa.gov.by/be/press/news_mfa/b4c3601a46d1cb98.html";"";"";""
"61";"16 лютага 2026";"2026";"Аб сустрэчы Міністра замежных спраў Беларусі М.Рыжанкова з Паслом Кубы";"https://www.mfa.gov.by/be/press/news_mfa/b61f1a3f3b1461f2.html";"";"";""
